trait,value,label
segment_path_length,NA,NA
segment_eu_length,NA,NA
segment_curvature,NA,NA
segment_insertion_angle,NA,NA
segment_path_length,NA,NA
segment_eu_length,NA,NA
segment_curvature,NA,NA
segment_insertion_angle,NA,NA
segment_path_length,135.0269113779068,0
segment_path_length,1061.6067690849304,1
segment_path_length,582.0117543935776,2
segment_eu_length,128.08200498118384,0
segment_eu_length,847.1511081265254,1
segment_eu_length,536.4000372856065,2
segment_curvature,1.0542223429258717,0
segment_curvature,1.2531492420905566,1
segment_curvature,1.085033023746203,2
segment_insertion_angle,27.71228543507648,0
segment_insertion_angle,27.415262592501875,1
segment_insertion_angle,5.167878220382562,2
segment_path_length,91.96803629398346,0
segment_path_length,143.86753106117249,1
segment_path_length,552.1538897752762,2
segment_path_length,183.1518018245697,3
segment_path_length,799.5579986572266,4
segment_path_length,781.8797236680984,5
segment_eu_length,85.27602242131137,0
segment_eu_length,130.38404810405297,1
segment_eu_length,352.08095659947304,2
segment_eu_length,165.1575005865613,3
segment_eu_length,502.5942697643896,4
segment_eu_length,752.590858302172,5
segment_curvature,1.0784747421685523,0
segment_curvature,1.103413593558309,1
segment_curvature,1.5682583207799163,2
segment_curvature,1.1089523707618556,3
segment_curvature,1.5908617482488412,4
segment_curvature,1.0389173812607841,5
segment_insertion_angle,45.27589649847798,0
segment_insertion_angle,46.34673355655258,1
segment_insertion_angle,22.817334743738463,2
segment_insertion_angle,4.441952055015264,3
segment_path_length,42.99137753248215,0
segment_path_length,913.7051863670349,1
segment_path_length,334.7192993760109,2
segment_path_length,809.4848430156708,3
segment_eu_length,39.698866482558415,0
segment_eu_length,821.9890510219707,1
segment_eu_length,323.0990560184291,2
segment_eu_length,752.3250627222252,3
segment_curvature,1.0829371551797402,0
segment_curvature,1.1115782932035827,1
segment_curvature,1.0359649560750155,2
segment_curvature,1.0759775037755857,3
segment_insertion_angle,59.96507208223666,0
segment_insertion_angle,12.743352133103256,1
segment_insertion_angle,1.7877405435482956,2
segment_path_length,NA,NA
segment_eu_length,NA,NA
segment_curvature,NA,NA
segment_insertion_angle,NA,NA
segment_path_length,NA,NA
segment_eu_length,NA,NA
segment_curvature,NA,NA
segment_insertion_angle,NA,NA
segment_path_length,NA,NA
segment_eu_length,NA,NA
segment_curvature,NA,NA
segment_insertion_angle,NA,NA
segment_path_length,212.85028612613678,0
segment_path_length,595.3010774850845,1
segment_path_length,852.2523070573807,2
segment_eu_length,193.86851214160592,0
segment_eu_length,487.201190474736,1
segment_eu_length,825.2672294475287,2
segment_curvature,1.0979105568761272,0
segment_curvature,1.221879357283619,1
segment_curvature,1.0326985934336894,2
segment_insertion_angle,40.46606544580951,0
segment_insertion_angle,25.453799602508894,1
segment_insertion_angle,3.7656968465251355,2
segment_path_length,73.58326029777527,0
segment_path_length,296.8502861261368,1
segment_path_length,591.5559107065201,2
segment_path_length,521.311182141304,3
segment_eu_length,68.96375859826666,0
segment_eu_length,249.06424873915566,1
segment_eu_length,428.3223085481306,2
segment_eu_length,505.83099944546694,3
segment_curvature,1.0669844827689643,0
segment_curvature,1.1918622910710372,1
segment_curvature,1.3810999308247494,2
segment_curvature,1.0306034677843148,3
segment_insertion_angle,62.294344174129435,0
segment_insertion_angle,43.791971420633864,1
segment_insertion_angle,27.13905998775033,2
segment_insertion_angle,4.417775006586253,3
segment_path_length,NA,NA
segment_eu_length,NA,NA
segment_curvature,NA,NA
segment_insertion_angle,NA,NA
segment_path_length,NA,NA
segment_eu_length,NA,NA
segment_curvature,NA,NA
segment_insertion_angle,NA,NA
segment_path_length,261.38939011096954,0
segment_path_length,455.46759808063507,1
segment_path_length,731.5350956320763,2
segment_eu_length,247.24481794367298,0
segment_eu_length,429.00932390800085,1
